target,arm,k,dim,r2,n_rows
HR_mean,v8_latent,2,32,0.1931633933717315,70328
HR_mean,v8_latent,4,32,0.2393364864577846,70328
HR_mean,v8_latent,8,32,0.28539899075956854,70328
HR_mean,v8_latent,16,32,0.305956287966487,70328
HR_mean,v8_latent,32,32,0.3479212183067316,70328
HR_mean,v8_backbone,2,384,0.23497841003510578,70328
HR_mean,v8_backbone,4,384,0.2488542283322237,70328
HR_mean,v8_backbone,8,384,0.3095417600017375,70328
HR_mean,v8_backbone,16,384,0.5120771735646654,70328
HR_mean,v8_backbone,32,384,0.6900082394632843,70328
HR_mean,v8_backbone,64,384,0.7131108952389652,70328
HR_mean,v8_backbone,128,384,0.7235135070825529,70328
HR_mean,v8_backbone,384,384,0.7347185663158221,70328
HR_mean,plain_backbone,2,384,0.202781822940729,70328
HR_mean,plain_backbone,4,384,0.22536572948594025,70328
HR_mean,plain_backbone,8,384,0.2712682992498966,70328
HR_mean,plain_backbone,16,384,0.41244174925426424,70328
HR_mean,plain_backbone,32,384,0.6874420406976307,70328
HR_mean,plain_backbone,64,384,0.7176181267872864,70328
HR_mean,plain_backbone,128,384,0.7320595049103815,70328
HR_mean,plain_backbone,384,384,0.7453902841884228,70328
HR_std,v8_latent,2,32,0.3406259360891375,70328
HR_std,v8_latent,4,32,0.3633260427008286,70328
HR_std,v8_latent,8,32,0.4437377576164804,70328
HR_std,v8_latent,16,32,0.46864672674102814,70328
HR_std,v8_latent,32,32,0.516736790012122,70328
HR_std,v8_backbone,2,384,0.3221838234367975,70328
HR_std,v8_backbone,4,384,0.3390669749546613,70328
HR_std,v8_backbone,8,384,0.4710710150951487,70328
HR_std,v8_backbone,16,384,0.5748374173470894,70328
HR_std,v8_backbone,32,384,0.6410270158711462,70328
HR_std,v8_backbone,64,384,0.6708425433773635,70328
HR_std,v8_backbone,128,384,0.706052723777067,70328
HR_std,v8_backbone,384,384,0.7506429879082175,70328
HR_std,plain_backbone,2,384,0.31936263504751505,70328
HR_std,plain_backbone,4,384,0.3457629434762419,70328
HR_std,plain_backbone,8,384,0.39878324332452564,70328
HR_std,plain_backbone,16,384,0.5790994221746266,70328
HR_std,plain_backbone,32,384,0.6374340520035096,70328
HR_std,plain_backbone,64,384,0.6643657301007988,70328
HR_std,plain_backbone,128,384,0.6857618471722711,70328
HR_std,plain_backbone,384,384,0.7419689049351763,70328
RMSSD,v8_latent,2,32,0.3222899756742811,70328
RMSSD,v8_latent,4,32,0.34741440268210844,70328
RMSSD,v8_latent,8,32,0.4163733110552339,70328
RMSSD,v8_latent,16,32,0.43886623994277585,70328
RMSSD,v8_latent,32,32,0.4779101791257484,70328
RMSSD,v8_backbone,2,384,0.33178819970568885,70328
RMSSD,v8_backbone,4,384,0.347549340803049,70328
RMSSD,v8_backbone,8,384,0.43655376093087506,70328
RMSSD,v8_backbone,16,384,0.5197720521788036,70328
RMSSD,v8_backbone,32,384,0.580274599417384,70328
RMSSD,v8_backbone,64,384,0.598769039448071,70328
RMSSD,v8_backbone,128,384,0.6354737099315003,70328
RMSSD,v8_backbone,384,384,0.680466734374616,70328
RMSSD,plain_backbone,2,384,0.3114916498079333,70328
RMSSD,plain_backbone,4,384,0.33698362450481734,70328
RMSSD,plain_backbone,8,384,0.375773317607616,70328
RMSSD,plain_backbone,16,384,0.5185557662328444,70328
RMSSD,plain_backbone,32,384,0.5757125715642993,70328
RMSSD,plain_backbone,64,384,0.5984962624119865,70328
RMSSD,plain_backbone,128,384,0.6142496566824742,70328
RMSSD,plain_backbone,384,384,0.6718630811485233,70328
HF_power,v8_latent,2,32,0.20721631681581987,70328
HF_power,v8_latent,4,32,0.2304466649986303,70328
HF_power,v8_latent,8,32,0.2809329932157635,70328
HF_power,v8_latent,16,32,0.2967880737794346,70328
HF_power,v8_latent,32,32,0.3226493032730017,70328
HF_power,v8_backbone,2,384,0.2289138462922008,70328
HF_power,v8_backbone,4,384,0.2403561937986014,70328
HF_power,v8_backbone,8,384,0.2826455350189695,70328
HF_power,v8_backbone,16,384,0.33672011831103876,70328
HF_power,v8_backbone,32,384,0.39408626874161556,70328
HF_power,v8_backbone,64,384,0.41487656209439894,70328
HF_power,v8_backbone,128,384,0.42773945309558203,70328
HF_power,v8_backbone,384,384,0.457108145028677,70328
HF_power,plain_backbone,2,384,0.20632873575077215,70328
HF_power,plain_backbone,4,384,0.22712496010367944,70328
HF_power,plain_backbone,8,384,0.24967386395830538,70328
HF_power,plain_backbone,16,384,0.36204631642133933,70328
HF_power,plain_backbone,32,384,0.3976527308393524,70328
HF_power,plain_backbone,64,384,0.4130687794636224,70328
HF_power,plain_backbone,128,384,0.42118197384235845,70328
