target,arm,k,dim,r2,n_rows
HR_mean,v8_latent,2,32,0.19838065627563684,70229
HR_mean,v8_latent,4,32,0.25268794639220615,70229
HR_mean,v8_latent,8,32,0.28992034353335994,70229
HR_mean,v8_latent,16,32,0.30590647308862784,70229
HR_mean,v8_latent,32,32,0.3373774997852088,70229
HR_mean,v8_backbone,2,384,0.21474064024893735,70229
HR_mean,v8_backbone,4,384,0.229816781401335,70229
HR_mean,v8_backbone,8,384,0.25873738217455766,70229
HR_mean,v8_backbone,16,384,0.3797305560514451,70229
HR_mean,v8_backbone,32,384,0.6883153425713375,70229
HR_mean,v8_backbone,64,384,0.7262488282020487,70229
HR_mean,v8_backbone,128,384,0.7421160981648716,70229
HR_mean,v8_backbone,384,384,0.7445747004754193,70229
HR_mean,plain_backbone,2,384,0.15695147261382636,70229
HR_mean,plain_backbone,4,384,0.2575185658205732,70229
HR_mean,plain_backbone,8,384,0.26590914547898237,70229
HR_mean,plain_backbone,16,384,0.49742171014003367,70229
HR_mean,plain_backbone,32,384,0.7190341066684992,70229
HR_mean,plain_backbone,64,384,0.7455202751059005,70229
HR_mean,plain_backbone,128,384,0.75190340939307,70229
HR_mean,plain_backbone,384,384,0.7534058487772254,70229
HR_std,v8_latent,2,32,0.3313619395814006,70229
HR_std,v8_latent,4,32,0.3475658714666213,70229
HR_std,v8_latent,8,32,0.4587803635793207,70229
HR_std,v8_latent,16,32,0.4968116495385937,70229
HR_std,v8_latent,32,32,0.5296374971970117,70229
HR_std,v8_backbone,2,384,0.3552361665700543,70229
HR_std,v8_backbone,4,384,0.3642205508224865,70229
HR_std,v8_backbone,8,384,0.5313904197865942,70229
HR_std,v8_backbone,16,384,0.5899524871317838,70229
HR_std,v8_backbone,32,384,0.6644818013899985,70229
HR_std,v8_backbone,64,384,0.688711286316694,70229
HR_std,v8_backbone,128,384,0.6983926413276995,70229
HR_std,v8_backbone,384,384,0.7267768605708154,70229
HR_std,plain_backbone,2,384,0.280678095530948,70229
HR_std,plain_backbone,4,384,0.3642824612286968,70229
HR_std,plain_backbone,8,384,0.5037827400028168,70229
HR_std,plain_backbone,16,384,0.6320185161047192,70229
HR_std,plain_backbone,32,384,0.6570735794894866,70229
HR_std,plain_backbone,64,384,0.6756529065765589,70229
HR_std,plain_backbone,128,384,0.6870694195073237,70229
HR_std,plain_backbone,384,384,0.7212719049725616,70229
RMSSD,v8_latent,2,32,0.30936697140980807,70229
RMSSD,v8_latent,4,32,0.3287014538972203,70229
RMSSD,v8_latent,8,32,0.4317861969329907,70229
RMSSD,v8_latent,16,32,0.45731425406612436,70229
RMSSD,v8_latent,32,32,0.48050743157185194,70229
RMSSD,v8_backbone,2,384,0.35506281719987,70229
RMSSD,v8_backbone,4,384,0.3691072334803369,70229
RMSSD,v8_backbone,8,384,0.4806040251095349,70229
RMSSD,v8_backbone,16,384,0.5301866393493364,70229
RMSSD,v8_backbone,32,384,0.5926551455198092,70229
RMSSD,v8_backbone,64,384,0.611617720458302,70229
RMSSD,v8_backbone,128,384,0.6193907340181806,70229
RMSSD,v8_backbone,384,384,0.6408532274652211,70229
RMSSD,plain_backbone,2,384,0.2656371629730354,70229
RMSSD,plain_backbone,4,384,0.342646585179202,70229
RMSSD,plain_backbone,8,384,0.4527437798097974,70229
RMSSD,plain_backbone,16,384,0.5694856678217021,70229
RMSSD,plain_backbone,32,384,0.5847147006691868,70229
RMSSD,plain_backbone,64,384,0.6011412092853006,70229
RMSSD,plain_backbone,128,384,0.6082284610615899,70229
RMSSD,plain_backbone,384,384,0.627540738997383,70229
HF_power,v8_latent,2,32,0.19309057052216383,70229
HF_power,v8_latent,4,32,0.2136800702414987,70229
HF_power,v8_latent,8,32,0.28507795682111303,70229
HF_power,v8_latent,16,32,0.3054768892643407,70229
HF_power,v8_latent,32,32,0.3280971536833638,70229
HF_power,v8_backbone,2,384,0.23344942604176644,70229
HF_power,v8_backbone,4,384,0.24981184747334073,70229
HF_power,v8_backbone,8,384,0.3107181623202496,70229
HF_power,v8_backbone,16,384,0.35155818635690317,70229
HF_power,v8_backbone,32,384,0.3995918677572361,70229
HF_power,v8_backbone,64,384,0.41137806188250703,70229
HF_power,v8_backbone,128,384,0.4162217325866875,70229
HF_power,v8_backbone,384,384,0.41967395340404456,70229
HF_power,plain_backbone,2,384,0.16154103767721684,70229
HF_power,plain_backbone,4,384,0.2108063600541854,70229
HF_power,plain_backbone,8,384,0.27305780910178445,70229
HF_power,plain_backbone,16,384,0.3827702876560384,70229
HF_power,plain_backbone,32,384,0.39461700886173456,70229
HF_power,plain_backbone,64,384,0.4077450911310607,70229
HF_power,plain_backbone,128,384,0.41224966767505544,70229
HF_power,plain_backbone,384,384,0.42339638864323537,70229
resp_rate,v8_latent,2,32,0.00718105810086811,50916
resp_rate,v8_latent,4,32,0.009979951994520397,50916
resp_rate,v8_latent,8,32,0.012990151806931083,50916
resp_rate,v8_latent,16,32,0.013037938999353904,50916
resp_rate,v8_latent,32,32,0.013554158670587846,50916
resp_rate,v8_backbone,2,384,0.005392578177044416,50916
resp_rate,v8_backbone,4,384,0.009545540850232515,50916
resp_rate,v8_backbone,8,384,0.010275327974022641,50916
resp_rate,v8_backbone,16,384,0.019098947904979013,50916
resp_rate,v8_backbone,32,384,0.026996223926850638,50916
resp_rate,v8_backbone,64,384,0.028526692342613735,50916
resp_rate,v8_backbone,128,384,0.029051564838813104,50916
resp_rate,v8_backbone,384,384,0.028947829266784186,50916
resp_rate,plain_backbone,2,384,0.006110959304289287,50916
resp_rate,plain_backbone,4,384,0.01067974921360082,50916
resp_rate,plain_backbone,8,384,0.01423891177353509,50916
resp_rate,plain_backbone,16,384,0.024774906099641836,50916
resp_rate,plain_backbone,32,384,0.033132945050923346,50916
resp_rate,plain_backbone,64,384,0.02475710881192883,50916
resp_rate,plain_backbone,128,384,0.02338740595092137,50916
resp_rate,plain_backbone,384,384,0.022874627744162268,50916
