target,arm,k,dim,r2,n_rows
HR_mean,v8_latent,2,32,0.1487673584219431,70632
HR_mean,v8_latent,4,32,0.20399827906451085,70632
HR_mean,v8_latent,8,32,0.2362710173404894,70632
HR_mean,v8_latent,16,32,0.26643119889116385,70632
HR_mean,v8_latent,32,32,0.32291636191148587,70632
HR_mean,v8_backbone,2,384,0.20242882391702322,70632
HR_mean,v8_backbone,4,384,0.21368425883119258,70632
HR_mean,v8_backbone,8,384,0.3218813204986911,70632
HR_mean,v8_backbone,16,384,0.5485974553975788,70632
HR_mean,v8_backbone,32,384,0.6900163836385191,70632
HR_mean,v8_backbone,64,384,0.7012582298749827,70632
HR_mean,v8_backbone,128,384,0.6952463166886635,70632
HR_mean,v8_backbone,384,384,0.6751909506237945,70632
HR_mean,plain_backbone,2,384,0.15938523930998028,70632
HR_mean,plain_backbone,4,384,0.2190027781791677,70632
HR_mean,plain_backbone,8,384,0.2968016707984662,70632
HR_mean,plain_backbone,16,384,0.5516079415499736,70632
HR_mean,plain_backbone,32,384,0.6581536447284024,70632
HR_mean,plain_backbone,64,384,0.6687547068432136,70632
HR_mean,plain_backbone,128,384,0.6850469744994725,70632
HR_mean,plain_backbone,384,384,0.6406469725391387,70632
HR_std,v8_latent,2,32,0.28380953779228923,70632
HR_std,v8_latent,4,32,0.3099890826504229,70632
HR_std,v8_latent,8,32,0.4148057591264068,70632
HR_std,v8_latent,16,32,0.49319386855191816,70632
HR_std,v8_latent,32,32,0.5154076601621081,70632
HR_std,v8_backbone,2,384,0.2717502782078214,70632
HR_std,v8_backbone,4,384,0.3186908189209542,70632
HR_std,v8_backbone,8,384,0.45859785111095686,70632
HR_std,v8_backbone,16,384,0.5235674132438468,70632
HR_std,v8_backbone,32,384,0.6145409431968548,70632
HR_std,v8_backbone,64,384,0.6307940244366745,70632
HR_std,v8_backbone,128,384,0.6405424521544554,70632
HR_std,v8_backbone,384,384,0.6807978445824987,70632
HR_std,plain_backbone,2,384,0.3010876439806547,70632
HR_std,plain_backbone,4,384,0.3505009451297346,70632
HR_std,plain_backbone,8,384,0.47424166898179854,70632
