target,arm,k,mean,std,count
HF_power,plain_backbone,2,0.17651436051551955,0.017474305189062136,5
HF_power,plain_backbone,4,0.2144051409525046,0.011785981063287126,5
HF_power,plain_backbone,8,0.25788756226492937,0.010330186251642462,5
HF_power,plain_backbone,16,0.34491191313260444,0.027220233315401153,5
HF_power,plain_backbone,32,0.37076424294164667,0.02767561799313377,5
HF_power,plain_backbone,64,0.3832269838128318,0.02647229216557782,5
HF_power,plain_backbone,128,0.3938970602077987,0.025378387761182723,5
HF_power,plain_backbone,384,0.41197775052828406,0.02652683782759751,5
HF_power,v8_backbone,2,0.20048071834593148,0.030623837767146844,5
HF_power,v8_backbone,4,0.22667815781434628,0.01818667879680678,5
HF_power,v8_backbone,8,0.2729201135333331,0.024101656356635744,5
HF_power,v8_backbone,16,0.320010470327814,0.024201020950051125,5
HF_power,v8_backbone,32,0.3663080545748903,0.029055047979027797,5
HF_power,v8_backbone,64,0.3879375783463523,0.026366038572757114,5
HF_power,v8_backbone,128,0.3953816597538616,0.029004515812655726,5
HF_power,v8_backbone,384,0.4123176970226286,0.03139214540554101,5
HF_power,v8_latent,2,0.18062543470172585,0.023076815241316374,5
HF_power,v8_latent,4,0.20140016732206384,0.025468641060108623,5
HF_power,v8_latent,8,0.25972650664597235,0.022572939801787234,5
HF_power,v8_latent,16,0.28828039351209084,0.013017338448405394,5
HF_power,v8_latent,32,0.31093928063638987,0.01570947615502878,5
HR_mean,plain_backbone,2,0.1674610357539799,0.06581066346580731,5
HR_mean,plain_backbone,4,0.22391592663295534,0.07184609471451053,5
HR_mean,plain_backbone,8,0.2931812105466358,0.0758572834546723,5
HR_mean,plain_backbone,16,0.47899915989025554,0.10350140416923885,5
HR_mean,plain_backbone,32,0.686080214435268,0.05089204677410411,5
HR_mean,plain_backbone,64,0.710260629221777,0.05855373976201009,5
HR_mean,plain_backbone,128,0.7207670963653856,0.05805336496609362,5
HR_mean,plain_backbone,384,0.7172711886623845,0.06698925624706392,5
HR_mean,v8_backbone,2,0.21158591997585657,0.05898354089980471,5
HR_mean,v8_backbone,4,0.2229973018046644,0.06549253762141301,5
HR_mean,v8_backbone,8,0.3007828741206454,0.05496704574266411,5
HR_mean,v8_backbone,16,0.49116421771398516,0.10255817719222028,5
HR_mean,v8_backbone,32,0.6897901189161327,0.04639331013210953,5
HR_mean,v8_backbone,64,0.7122812374199802,0.05069000596825835,5
HR_mean,v8_backbone,128,0.7197130852134658,0.05459483054813145,5
HR_mean,v8_backbone,384,0.721605591875525,0.058434503651582946,5
HR_mean,v8_latent,2,0.1782531260133243,0.05065967781556002,5
HR_mean,v8_latent,4,0.23228732017474724,0.05070705729904064,5
HR_mean,v8_latent,8,0.2602662649115659,0.07126987963928212,5
HR_mean,v8_latent,16,0.28278745994601145,0.06686312802123345,5
HR_mean,v8_latent,32,0.3243755328563284,0.05941790542696571,5
HR_std,plain_backbone,2,0.2994885528874727,0.014118131481928458,5
HR_std,plain_backbone,4,0.3517015372030081,0.012521933849188793,5
HR_std,plain_backbone,8,0.45164361248242946,0.043108039159855005,5
