target,arm,k,dim,r2,n_rows
HR_mean,v8_latent,2,32,0.10932064771210381,69974
HR_mean,v8_latent,4,32,0.16555664914031432,69974
HR_mean,v8_latent,8,32,0.15064540276998561,69974
HR_mean,v8_latent,16,32,0.17811115998635452,69974
HR_mean,v8_latent,32,32,0.22689140988554035,69974
HR_mean,v8_backbone,2,384,0.12188465600380172,69974
HR_mean,v8_backbone,4,384,0.12164302729625776,69974
HR_mean,v8_backbone,8,384,0.23715772082865982,69974
HR_mean,v8_backbone,16,384,0.3950759423455422,69974
HR_mean,v8_backbone,32,384,0.6247059535208699,69974
HR_mean,v8_backbone,64,384,0.6398480477144826,69974
HR_mean,v8_backbone,128,384,0.6453399456660546,69974
HR_mean,v8_backbone,384,384,0.6534536092133094,69974
HR_mean,plain_backbone,2,384,0.07032139783918567,69974
HR_mean,plain_backbone,4,384,0.11128122852112021,69974
HR_mean,plain_backbone,8,384,0.21412487498238475,69974
HR_mean,plain_backbone,16,384,0.33926835272281075,69974
HR_mean,plain_backbone,32,384,0.6178015244341468,69974
HR_mean,plain_backbone,64,384,0.6365837927544415,69974
HR_mean,plain_backbone,128,384,0.6429636377030796,69974
HR_mean,plain_backbone,384,384,0.6530786526256203,69974
HR_std,v8_latent,2,32,0.31396194510827036,69974
HR_std,v8_latent,4,32,0.3284024319405401,69974
HR_std,v8_latent,8,32,0.4286358501950315,69974
HR_std,v8_latent,16,32,0.49255265419463634,69974
HR_std,v8_latent,32,32,0.5294748983962583,69974
HR_std,v8_backbone,2,384,0.29708613701523523,69974
HR_std,v8_backbone,4,384,0.34817427289927283,69974
HR_std,v8_backbone,8,384,0.47908631708458527,69974
HR_std,v8_backbone,16,384,0.5608097589949272,69974
HR_std,v8_backbone,32,384,0.638320030763144,69974
HR_std,v8_backbone,64,384,0.6608234657663482,69974
HR_std,v8_backbone,128,384,0.6762551473771442,69974
HR_std,v8_backbone,384,384,0.7276122026194645,69974
HR_std,plain_backbone,2,384,0.3027600189744718,69974
HR_std,plain_backbone,4,384,0.3345341964497198,69974
HR_std,plain_backbone,8,384,0.46489751005676005,69974
HR_std,plain_backbone,16,384,0.5882535373619501,69974
HR_std,plain_backbone,32,384,0.6367158858580987,69974
HR_std,plain_backbone,64,384,0.6582115053847172,69974
HR_std,plain_backbone,128,384,0.6794781482731767,69974
HR_std,plain_backbone,384,384,0.6936821614715669,69974
RMSSD,v8_latent,2,32,0.28793558286587695,69974
RMSSD,v8_latent,4,32,0.30404182848542916,69974
RMSSD,v8_latent,8,32,0.3894197541881631,69974
RMSSD,v8_latent,16,32,0.45036855808192156,69974
RMSSD,v8_latent,32,32,0.47939620709292396,69974
RMSSD,v8_backbone,2,384,0.28567376809747824,69974
RMSSD,v8_backbone,4,384,0.3320329195197862,69974
RMSSD,v8_backbone,8,384,0.4260223176098078,69974
RMSSD,v8_backbone,16,384,0.5056353558116089,69974
RMSSD,v8_backbone,32,384,0.5701384158920532,69974
RMSSD,v8_backbone,64,384,0.5991083862584232,69974
RMSSD,v8_backbone,128,384,0.6208786071226394,69974
RMSSD,v8_backbone,384,384,0.668828200655649,69974
RMSSD,plain_backbone,2,384,0.2815098773917778,69974
RMSSD,plain_backbone,4,384,0.31406350144758177,69974
RMSSD,plain_backbone,8,384,0.41715922424963126,69974
RMSSD,plain_backbone,16,384,0.5229339763211065,69974
RMSSD,plain_backbone,32,384,0.5634976925497526,69974
RMSSD,plain_backbone,64,384,0.5879691345842033,69974
RMSSD,plain_backbone,128,384,0.6124261654147751,69974
RMSSD,plain_backbone,384,384,0.6283125217732655,69974
HF_power,v8_latent,2,32,0.17151971912717345,69974
HF_power,v8_latent,4,32,0.18605346140081414,69974
HF_power,v8_latent,8,32,0.24320119968187837,69974
HF_power,v8_latent,16,32,0.28659104087481835,69974
